ticker,allocation,port_weight
A,13.241993,0.00015175072005127878
AA,0.37148000000000003,4.2570901135991414e-06
AAL,0.46435000000000004,5.321362641998927e-06
AAMI,0.12669000000000002,1.451843293022169e-06
AAON,0.32504500000000003,3.724953849399249e-06
AAPL,3201.012946,0.03668299926219302
ABCB,0.6334500000000001,7.259216465110844e-06
ABNB,33.980004,0.0003894043800163112
ABR,0.38007,4.355529879066506e-06
ACGL,27.673836,0.00031713689469409933
ACI,0.32504500000000003,3.724953849399249e-06
ACIW,8.536022999999998,9.78211993182806e-05
ACLS,4.742235,5.434511073237812e-05
ACM,0.5572199999999999,6.385635170398711e-06
ACMR,1.8968939999999999,2.1738044292951245e-05
ACN,126.14345099999998,0.0014455799454812577
ADBE,178.65541100000002,0.002047357014937793
ADC,0.27860999999999997,3.1928175851993555e-06
ADEA,3.7937879999999997,4.347608858590249e-05
ADI,129.50518499999998,0.0014841047774397753
ADM,8.18918,9.384644453667443e-05
ADP,70.91268299999999,0.0008126458536881927
ADSK,79.668189,0.0009129822864225473
ADTN,0.9484469999999999,1.0869022146475623e-05
AEE,24.042724999999997,0.0002755250535734976
AEHR,0.9484469999999999,1.0869022146475623e-05
AEIS,8.536022999999998,9.78211993182806e-05
AEM,0.363024,4.160185962633829e-06
AEP,63.155716,0.0007237524878886484
AES,9.315397,0.00010675267705650668
AFG,4.930224000000001,5.64994289012308e-05
AFL,49.173508,0.000563519044787844
AFRM,2.9643300000000004,3.397065773781992e-05
AGCO,0.23217500000000002,2.6606813209994635e-06
AGI,0.060503999999999995,6.93364327105638e-07
AGM,0.25338000000000005,2.903686586044338e-06
AGNC,3.8875719999999996,4.455083538038344e-05
AGO,2.2793720000000004,2.6121169393815828e-05
AGPXX,5.6581600000000005,6.484143694724378e-05
AGYS,7.587575999999999,8.695217717180498e-05
AI,8.536022999999998,9.78211993182806e-05
AIG,40.544204,0.00046462886295937
AIZ,8.514039,9.756926686146636e-05
AJG,63.261505,0.0007249648096987796
AKAM,29.573921,0.00033891150723985684
ALAB,0.510785,5.85349890619882e-06
ALB,3.322107,3.807071407886966e-05
ALC,0.38319200000000003,4.391307405002375e-06
ALE,2.45137,2.809223374548704e-05
ALGM,5.690681999999999,6.521413287885373e-05
ALGN,5.006378,5.737213925040444e-05
ALK,0.32504500000000003,3.724953849399249e-06
ALKT,4.742235,5.434511073237812e-05
ALL,44.925062000000004,0.0005148326620357179
ALLE,3.368542,3.860285034306956e-05
ALLY,5.246817999999999,6.01275358987133e-05
ALNY,1.3001800000000001,1.4899815397596996e-05
ALRM,6.639129,7.608315502532936e-05
ALSN,0.37148000000000003,4.2570901135991414e-06
ALTR,10.432917,0.00011955924361123187
AM,0.23217500000000002,2.6606813209994635e-06
AMAL,0.12669000000000002,1.451843293022169e-06
AMAT,127.740015,0.0014638762651219609
AMBA,6.639129,7.608315502532936e-05
AMBC,0.12669000000000002,1.451843293022169e-06
AMCR,4.8670729999999995,5.577573045780476e-05
AMD,174.388932,0.0019984639774370434
AME,13.241993,0.00015175072005127878
AMG,2.5959659999999998,2.974927639129834e-05
AMGN,236.813411,0.0027138366284478036
AMH,0.46435000000000004,5.321362641998927e-06
AMKR,5.690681999999999,6.521413287885373e-05
AMP,43.405882000000005,0.0004974231483101404
AMPL,1.8968939999999999,2.1738044292951245e-05
AMPS,0.16906,1.937395430723244e-06
AMPY,0.806715,9.244800395693257e-06
AMSF,0.12669000000000002,1.451843293022169e-06
AMT,24.685632,0.0002828926454591003
AMTB,0.12669000000000002,1.451843293022169e-06
AMZN,1331.408258,0.015257685292064322
ANET,147.142898,0.0016862296122594133
ANSS,41.191399,0.0004720455945090383
AON,55.592212,0.0006370761712563464
AOS,3.2292370000000004,3.7006441550469884e-05
AOSL,1.8968939999999999,2.1738044292951245e-05
APA,34.511852,0.00039549925689457506
APAM,0.5067600000000001,5.807373172088676e-06
APD,20.329344,0.0002329704139074944
APG,0.32504500000000003,3.724953849399249e-06
APH,87.81657299999999,0.0010063612165620147
APLD,1.8968939999999999,2.1738044292951245e-05
APO,59.769576,0.0006849479678141825
APP,87.992726,0.0010083798964230595
APPF,12.629815,0.00014473527665846383
APPN,5.482334,6.282650444397662e-05
APTV,4.913507999999999,5.630786672200465e-05
AR,34.479215,0.00039512524308484774
ARE,5.006378,5.737213925040444e-05
ARES,17.998621,0.00020626077182491086
ARI,0.12669000000000002,1.451843293022169e-06
ARLO,2.8453409999999995,3.2607066439426865e-05
ARM,6.0023159999999995,6.87853992201409e-05
ARMK,0.37148000000000003,4.2570901135991414e-06
AROW,0.12669000000000002,1.451843293022169e-06
ARR,0.12669000000000002,1.451843293022169e-06
ARTNA,0.16906,1.937395430723244e-06
ARW,8.768197999999998,0.00010048188063928006
ASAN,7.5584999999999996,8.661897174447913e-05
ASB,0.6334500000000001,7.259216465110844e-06
ASGN,7.587575999999999,8.695217717180498e-05
ASML,21.008106,0.0002407488972704932
ATEN,61.59902099999999,0.0007059130594015448
ATI,0.27860999999999997,3.1928175851993555e-06
ATO,21.014314,0.0002408200397692151
ATR,0.41791500000000004,4.789226377799034e-06
AUB,0.5067600000000001,5.807373172088676e-06
AUR,10.432917,0.00011955924361123187
AVA,1.9441899999999999,2.2280047453317307e-05
AVB,9.873451,0.0001131478697082092
AVDX,0.25338000000000005,2.903686586044338e-06
AVGO,1655.29268,0.01896933913842206
AVPT,3.7937879999999997,4.347608858590249e-05
AVT,8.536022999999998,9.78211993182806e-05
AVTR,0.5572199999999999,6.385635170398711e-06
